WL	Nr 	Ni     (25%)	Nr	Ni (38%)	Nr	Ni (50%)	Nr	Ni (75%)	Nr	Ni (85%)	Nr	ni (95)
0.360	1.383	3.020E-08	1.407	2.460E-08	1.421	2.070E-08	1.452	2.070E-08	1.463	1.100E-08	1.459	9.000E-09
0.408	1.373	3.020E-08	1.392	2.460E-08	1.408	2.070E-08	1.438	2.070E-08	1.448	1.100E-08	1.443	9.000E-09
0.449	1.369	3.020E-08	1.387	2.460E-08	1.402	2.070E-08	1.432	2.070E-08	1.442	1.100E-08	1.438	9.000E-09
0.556	1.366	3.020E-08	1.384	2.460E-08	1.397	2.070E-08	1.431	2.070E-08	1.438	1.100E-08	1.434	9.000E-09
0.702	1.363	3.020E-08	1.382	2.460E-08	1.394	2.070E-08	1.428	2.070E-08	1.436	1.100E-08	1.432	9.000E-09
0.714	1.363	4.720E-08	1.381	3.870E-08	1.394	3.130E-08	1.427	2.790E-08	1.435	1.140E-08	1.432	1.000E-08
0.725	1.363	6.860E-08	1.381	5.940E-08	1.394	4.610E-08	1.427	3.580E-08	1.435	1.730E-08	1.432	1.100E-08
0.735	1.362	1.090E-07	1.381	8.890E-08	1.393	7.020E-08	1.427	4.800E-08	1.435	2.340E-08	1.431	1.500E-08
0.746	1.362	1.450E-07	1.381	1.180E-07	1.393	9.860E-08	1.427	6.830E-08	1.434	3.090E-08	1.431	2.260E-08
0.758	1.362	1.550E-07	1.381	1.250E-07	1.393	1.040E-07	1.427	7.840E-08	1.434	3.920E-08	1.431	3.130E-08
0.769	1.362	1.430E-07	1.381	1.210E-07	1.393	9.920E-08	1.427	8.200E-08	1.434	4.900E-08	1.431	3.920E-08
0.781	1.362	1.320E-07	1.380	1.140E-07	1.393	9.510E-08	1.427	8.390E-08	1.433	6.090E-08	1.431	4.850E-08
0.794	1.362	1.240E-07	1.380	1.070E-07	1.393	9.280E-08	1.427	8.460E-08	1.433	6.570E-08	1.430	5.870E-08
0.806	1.362	1.170E-07	1.380	1.010E-07	1.392	9.180E-08	1.427	8.790E-08	1.432	7.510E-08	1.430	7.060E-08
0.820	1.362	1.250E-07	1.380	1.140E-07	1.392	1.040E-07	1.427	9.980E-08	1.432	8.940E-08	1.430	8.350E-08
0.833	1.362	1.920E-07	1.380	1.730E-07	1.392	1.420E-07	1.426	1.240E-07	1.432	1.070E-07	1.430	9.950E-08
0.847	1.361	2.440E-07	1.379	2.270E-07	1.392	1.870E-07	1.426	1.580E-07	1.432	1.290E-07	1.430	1.170E-07
0.862	1.361	2.720E-07	1.379	2.500E-07	1.392	2.070E-07	1.425	1.830E-07	1.431	1.480E-07	1.429	1.340E-07
0.877	1.361	3.210E-07	1.378	2.920E-07	1.392	2.240E-07	1.425	2.020E-07	1.430	1.700E-07	1.429	1.520E-07
0.893	1.361	4.010E-07	1.378	3.790E-07	1.392	2.650E-07	1.425	2.330E-07	1.430	2.150E-07	1.428	1.710E-07
0.909	1.361	5.200E-07	1.377	4.980E-07	1.391	3.530E-07	1.424	2.840E-07	1.429	2.730E-07	1.428	1.970E-07
0.926	1.360	7.880E-07	1.377	6.900E-07	1.391	5.250E-07	1.424	3.620E-07	1.429	3.490E-07	1.428	2.390E-07
0.943	1.360	1.390E-06	1.377	1.240E-06	1.391	9.380E-07	1.423	6.050E-07	1.428	4.970E-07	1.427	3.270E-07
0.962	1.360	2.910E-06	1.377	2.510E-06	1.390	1.970E-06	1.423	1.030E-06	1.428	7.510E-07	1.427	4.530E-07
0.980	1.359	3.230E-06	1.376	2.860E-06	1.390	2.400E-06	1.422	1.410E-06	1.427	9.670E-07	1.427	6.200E-07
